"id";"VillageId";"BlockId";"DistrictId";"VillageName";"plots";"phase";"pdf"
"1";"1";"1";"1";"Dhamoli Bichli";"95";"1";"Ambala Dhamoli Bichli.pdf"
"2";"2";"1";"1";"Korwa Kalan";NULL;NULL;NULL
"3";"3";"2";"1";"Haldri";"104";"1";"Ambala Haldri.pdf"
"4";"4";"2";"1";"Toba";"147";"1";"Ambala Toba.pdf"
"5";"5";"10";"15";"CHIKANWAS";"128";"1";"Hisar chikanwas.pdf"
"6";"6";"10";"15";"KHASA MAHAJANAN";"145";"1";"Hisar Khas Mahajana.pdf"
"7";"7";"10";"15";"KIRARA";"140";"1";"Hisar Kirara.pdf"
"8";"8";"10";"15";"SARANGPUR";"165";"1";"Hisar Sarangpur.pdf"
"9";"9";"14";"8";"DEHOLA";"275";"1";"Jind Dahola.pdf"
"10";"10";"22";"19";"Chochra";"196";"1";"Karnal Chochra.pdf"
"11";"11";"4";"17";"LADAWAS";"84";"1";"Charkhi Dadri Ladawas.pdf"
"12";"12";"31";"2";"Matnoli";"157";"1";"Panipat Matnauli.pdf"
"13";"13";"39";"13";"Surtia";"130";"1";"Sirsa Surtiya.pdf"
"14";"14";"11";"15";"GURANA";"98";"1";"Hisar Gurana.pdf"
"15";"15";"34";"3";"Pranpura";"70";"1";"Rewari pranpura.pdf"
"16";"16";"6";"18";"Bodiwali";"112";"1";"Ftb Badiwali.pdf"
"17";"17";"3";"9";"Kohar";"135";"1";"Bhiwani Kohar.pdf"
"18";"18";"3";"9";"Kount";"78";"1";"Bhiwani Kount.pdf"
"19";"19";"5";"17";"CHHAPAR";"143";"1";"Charkhi Dadri Chapar.pdf"
"20";"20";"35";"3";"NANDRAMPUR BAS";"134";"1";"Rewari Nandrampur Bas.pdf"
"21";"21";"40";"13";"Mojukhera";"161";"1";"Sirsa Moju Khera.pdf"
"22";"22";"7";"18";"Dhanger";"101";"1";"Ftb Dhangar.pdf"
"23";"23";"43";"10";"KHIZARUR AHIR";"127";"1";"Sonipat Khizarur Ahir.pdf"
"24";"24";"23";"19";"Hassnpur";"140";"1";"Karnal Hasanpur.pdf"
"25";"25";"30";"6";"Swamika";"178";"1";"Palwal Swamika.pdf"
"26";"26";"12";"15";"DAYA";"157";"1";"Hisar Daya.pdf"
"27";"27";"25";"12";"TANGOLI";"132";"1";"KUK Tangoli.pdf"
"28";"28";"13";"16";"Talao";"96";"1";"Jhajjar Talao.pdf"
"29";"29";"15";"8";"Khareinti";"120";"1";"Jind Kharanti.pdf"
"30";"30";"19";"7";"MANAS";"104";"1";"Kaithal Manas.pdf"
"31";"31";"19";"7";"PATTI AFGAN";"61";"1";"Kaithal Patti Afgan.pdf"
"32";"32";"44";"10";"KHANDA";"307";"1";"Sonipat Khanda.pdf"
"33";"33";"44";"10";"SOHTI";"205";"1";"Sonipat Sohti.pdf"
"34";"34";"44";"10";"THANA KALAN";"262";"1";"Sonipat Thana Kalan.pdf"
"35";"35";"24";"19";"Chand Samand";"116";"1";"Karnal Chand Samad.pdf"
"36";"36";"26";"12";"MEHRA";"143";"1";"Kuk Mehra.pdf"
"37";"37";"32";"2";"Dahramgarh";"262";"1";"Panipat Dharamgarh.pdf"
"38";"38";"45";"10";"Larsouli";"91";"1";"sonipat Larsauli.pdf"
"39";"39";"28";"11";"SHEHBAJPUR";"95";"1";"M. garh Shahbazpur.pdf"
"40";"40";"8";"18";"Alikan";"130";"1";"Ftb Alikan.pdf"
"41";"41";"8";"18";"Jallopur";"89";"1";"Ftb Jallopur.pdf"
"42";"42";"36";"3";"RATTANTHAL";"99";"1";"Rewari Rattanthal.pdf"
"43";"43";"29";"5";"TAIN";"127";"1";"Nuh Tain.pdf"
"44";"44";"41";"13";"NUHIANWALI";"103";"1";"Sirsa Nuhianwali.pdf"
"45";"45";"9";"14";"Mao";"73";"1";"Gurugram Mau.pdf"
"46";"46";"16";"8";"Kalawati";"93";"1";"Jind Kalawati.pdf"
"47";"47";"16";"8";"Retoli";"87";"1";"Jind Ritoli.pdf"
"48";"48";"27";"12";"SIRSALA";"118";"1";"Kuk Sursala.pdf"
"49";"49";"20";"7";"Hajwana";"104";"1";"Kaithal Hajwana.pdf"
"50";"50";"21";"7";"Rohera";"73";"1";"Kaithal Rohera.pdf"
"51";"51";"37";"3";"GOKAL GARH";"81";"1";"Rewari Gokal Garh.pdf"
"52";"52";"38";"4";"Jasia";"226";"1";"Rohtak Jasia.pdf"
"53";"53";"17";"8";"Malar";"79";"1";"Jind Malar.pdf"
"54";"54";"17";"8";"Siwanamal";"120";"1";"Jind Siwanamal.pdf"
"55";"55";"33";"2";"Biholi";"132";"1";"Panipat Beholi.pdf"
"56";"56";"47";"20";"kanhari kalan";"102";"1";"Ymnngr Khankari Kalan.pdf"
"57";"57";"42";"13";"Bansudhar";"111";"1";"Sirsa Bansudhar.pdf"
"58";"58";"46";"10";"RATTAN GARH";"90";"1";"Sonipat Rattangarh or Bagru.pdf"
"59";"59";"18";"8";"KABARCHA";"108";"1";"Jind Kabarcha.pdf"
"60";"60";"48";"9";"Bahal (Mahagram)";"498";"1";"Bhiwani Behal.pdf"
"61";"61";"49";"13";"Rupana Bishnoya";"102";"1";"Sirsa Rupana Bishnoia.pdf"
"62";"62";"50";"11";"Guwani";"79";"1";"M. Garh Guwani.pdf"
"63";"63";"69";"12";"JANDHERI";NULL;NULL;NULL
"64";"64";"1";"1";"MAJRA";NULL;NULL;NULL
"65";"65";"48";"9";"Bairan";"97";"2";NULL
"66";"66";"3";"9";"Bamla-1";NULL;NULL;NULL
"67";"67";"3";"9";"Bamla-2";NULL;NULL;NULL
"68";"68";"69";"12";"Haripur";NULL;NULL;NULL
"69";"69";"3";"9";"Kaluwas";NULL;NULL;NULL
"70";"70";"3";"9";"Mandhana";"124";"2";NULL
"71";"71";"3";"9";"Neemriwali";NULL;NULL;NULL
"72";"72";"3";"9";"Paluwas";NULL;NULL;NULL
"73";"73";"3";"9";"Phoolpura";NULL;NULL;NULL
"74";"74";"3";"9";"Sarsa Ghogra";NULL;NULL;NULL
"75";"75";"64";"9";"Jitwanwas";NULL;NULL;NULL
"76";"76";"64";"9";"Leghan Bhanan";NULL;NULL;NULL
"77";"77";"64";"9";"Leghan Hetwan";"22";"2";NULL
"78";"78";"65";"9";"Kural Bass";NULL;NULL;NULL
"79";"79";"66";"9";"Dariyapur";NULL;NULL;NULL
"80";"80";"56";"3";"NANDHA";NULL;NULL;NULL
"81";"81";"13";"16";"MEHRANA";NULL;NULL;NULL
"82";"82";"9";"14";"Bhora Khurd";NULL;NULL;NULL
"83";"83";"9";"14";"Gwalior";NULL;NULL;NULL
"84";"84";"9";"14";"Lokari";NULL;NULL;NULL
"85";"85";"9";"14";"Shahpur-Jat";NULL;NULL;NULL
"86";"86";"71";"15";"BAGLA";NULL;NULL;NULL
"87";"87";"71";"15";"CHULI BAGRIAN";NULL;NULL;NULL
"88";"88";"71";"15";"KHAIRAMPUR";NULL;NULL;NULL
"89";"89";"71";"15";"TELANWALI";NULL;NULL;NULL
"90";"90";"10";"15";"DURJANPUR";"113";"2";NULL
"91";"91";"10";"15";"KALIRAWAN";"229";"2";NULL
"92";"92";"10";"15";"KIRMARA";"110";"2";NULL
"93";"93";"10";"15";"KULERI";NULL;NULL;NULL
"94";"94";"10";"15";"SIWANI BOLAN";"186";"2";NULL
"95";"95";"10";"15";"THASKA";"99";"2";NULL
"96";"96";"11";"15";"GIANPURA";NULL;NULL;NULL
"97";"97";"72";"15";"MUZADPUR";NULL;NULL;NULL
"98";"98";"73";"15";"BASS AKABARPUR";NULL;NULL;NULL
"99";"99";"12";"15";"BURE";NULL;NULL;NULL
"100";"100";"74";"15";"BHERIAN";NULL;NULL;NULL
"101";"101";"74";"15";"DOBHI";NULL;NULL;NULL
"102";"102";"74";"15";"SHAHPUR";"79";"2";NULL
"103";"103";"75";"15";"KOTH KHURD";NULL;NULL;NULL
"104";"104";"75";"15";"MADHA";NULL;NULL;NULL
"105";"105";"75";"15";"MAJRA";NULL;NULL;NULL
"106";"106";"75";"15";"NARA";NULL;NULL;NULL
"107";"107";"75";"15";"RAKHI SHAHPUR";NULL;NULL;NULL
"108";"108";"76";"16";"FATEHPUR";NULL;NULL;NULL
"109";"109";"76";"16";"GOYLA KALAN";"191";"3";NULL
"110";"110";"76";"16";"GUBHANA";NULL;NULL;NULL
"111";"111";"76";"16";"JAHANGIRPUR";NULL;NULL;NULL
"112";"112";"76";"16";"KHERKA GUJJAR";"119";"2";NULL
"113";"113";"76";"16";"LUKSAR";"116";"3";NULL
"114";"114";"70";"12";"MUNDA KHERA";NULL;NULL;NULL
"115";"115";"98";"16";"Dekhora";"70";"2";NULL
"116";"116";"98";"16";"Dulhera";"104";"2";NULL
"117";"117";"98";"16";"Kharman";"91";"2";NULL
"118";"118";"98";"16";"Lowa Khurd";NULL;NULL;NULL
"119";"119";"98";"16";"Mandothi";NULL;NULL;NULL
"120";"120";"98";"16";"Silothi";NULL;NULL;NULL
"121";"121";"78";"16";"Bakra";"154";"3";NULL
"122";"122";"78";"16";"Chimni";NULL;NULL;NULL
"123";"123";"78";"16";"Siwana";"135";"3";NULL
"124";"124";"68";"12";"Bilochpura";NULL;NULL;NULL
"125";"125";"13";"16";"Birdhana";"119";"3";NULL
