"id";"VillageId";"BlockId";"DistrictId";"VillageName";"plots";"phase"
"1";"1";"1";"1";"Dhamoli Bichli";"95";"1"
"2";"2";"1";"1";"Korwa Kalan";NULL;NULL
"3";"3";"2";"1";"Haldri";"104";"1"
"4";"4";"2";"1";"Toba";"147";"1"
"5";"5";"10";"15";"CHIKANWAS";"128";"1"
"6";"6";"10";"15";"KHASA MAHAJANAN";"145";"1"
"7";"7";"10";"15";"KIRARA";"140";"1"
"8";"8";"10";"15";"SARANGPUR";"165";"1"
"9";"9";"14";"8";"DEHOLA";"275";"1"
"10";"10";"22";"19";"Chochra";"196";"1"
"11";"11";"4";"17";"LADAWAS";"84";"1"
"12";"12";"31";"2";"Matnoli";"157";"1"
"13";"13";"39";"13";"Surtia";"130";"1"
"14";"14";"11";"15";"GURANA";"98";"1"
"15";"15";"34";"3";"Pranpura";"70";"1"
"16";"16";"6";"18";"Bodiwali";"112";"1"
"17";"17";"3";"9";"Kohar";"135";"1"
"18";"18";"3";"9";"Kount";"78";"1"
"19";"19";"5";"17";"CHHAPAR";"143";"1"
"20";"20";"35";"3";"NANDRAMPUR BAS";"134";"1"
"21";"21";"40";"13";"Mojukhera";"161";"1"
"22";"22";"7";"18";"Dhanger";"101";"1"
"23";"23";"43";"10";"KHIZARUR AHIR";"127";"1"
"24";"24";"23";"19";"Hassnpur";"140";"1"
"25";"25";"30";"6";"Swamika";"178";"1"
"26";"26";"12";"15";"DAYA";"157";"1"
"27";"27";"25";"12";"TANGOLI";"132";"1"
"28";"28";"13";"16";"Talao";"96";"1"
"29";"29";"15";"8";"Khareinti";"120";"1"
"30";"30";"19";"7";"MANAS";"104";"1"
"31";"31";"19";"7";"PATTI AFGAN";"61";"1"
"32";"32";"44";"10";"KHANDA";"307";"1"
"33";"33";"44";"10";"SOHTI";"205";"1"
"34";"34";"44";"10";"THANA KALAN";"262";"1"
"35";"35";"24";"19";"Chand Samand";"116";"1"
"36";"36";"26";"12";"MEHRA";"143";"1"
"37";"37";"32";"2";"Dahramgarh";"262";"1"
"38";"38";"45";"10";"Larsouli";"91";"1"
"39";"39";"28";"11";"SHEHBAJPUR";"95";"1"
"40";"40";"8";"18";"Alikan";"130";"1"
"41";"41";"8";"18";"Jallopur";"89";"1"
"42";"42";"36";"3";"RATTANTHAL";"99";"1"
"43";"43";"29";"5";"TAIN";"127";"1"
"44";"44";"41";"13";"NUHIANWALI";"103";"1"
"45";"45";"9";"14";"Mao";"73";"1"
"46";"46";"16";"8";"Kalawati";"93";"1"
"47";"47";"16";"8";"Retoli";"87";"1"
"48";"48";"27";"12";"SIRSALA";"118";"1"
"49";"49";"20";"7";"Hajwana";"104";"1"
"50";"50";"21";"7";"Rohera";"73";"1"
"51";"51";"37";"3";"GOKAL GARH";"81";"1"
"52";"52";"38";"4";"Jasia";"226";"1"
"53";"53";"17";"8";"Malar";"79";"1"
"54";"54";"17";"8";"Siwanamal";"120";"1"
"55";"55";"33";"2";"Biholi";"132";"1"
"56";"56";"47";"20";"kanhari kalan";"102";"1"
"57";"57";"42";"13";"Bansudhar";"111";"1"
"58";"58";"46";"10";"RATTAN GARH";"90";"1"
"59";"59";"18";"8";"KABARCHA";"108";"1"
"60";"60";"48";"9";"Behal";"498";"1"
"61";"61";"49";"13";"Rupana Bishnoya";"102";"1"
"62";"62";"50";"11";"Guwani";"79";"1"
"63";"63";"69";"12";"JANDHERI";NULL;NULL
"64";"64";"1";"1";"MAJRA";NULL;NULL
"65";"65";"48";"9";"Bairan";"97";"2"
"66";"66";"3";"9";"Bamla-1";NULL;NULL
"67";"67";"3";"9";"Bamla-2";NULL;NULL
"68";"68";"69";"12";"Haripur";NULL;NULL
"69";"69";"3";"9";"Kaluwas";NULL;NULL
"70";"70";"3";"9";"Bahal (Mahagram)";"124";"2"
"71";"71";"3";"9";"Neemriwali";NULL;NULL
"72";"72";"3";"9";"Paluwas";NULL;NULL
"73";"73";"3";"9";"Phoolpura";NULL;NULL
"74";"74";"3";"9";"Sarsa Ghogra";NULL;NULL
"75";"75";"64";"9";"Jitwanwas";NULL;NULL
"76";"76";"64";"9";"Leghan Bhanan";NULL;NULL
"77";"77";"64";"9";"Leghan Hetwan";"22";"2"
"78";"78";"65";"9";"Kural Bass";NULL;NULL
"79";"79";"66";"9";"Dariyapur";NULL;NULL
"80";"80";"56";"3";"NANDHA";NULL;NULL
"81";"81";"13";"16";"MEHRANA";NULL;NULL
"82";"82";"9";"14";"Bhora Khurd";NULL;NULL
"83";"83";"9";"14";"Gwalior";NULL;NULL
"84";"84";"9";"14";"Lokari";NULL;NULL
"85";"85";"9";"14";"Shahpur-Jat";NULL;NULL
"86";"86";"71";"15";"BAGLA";NULL;NULL
"87";"87";"71";"15";"CHULI BAGRIAN";NULL;NULL
"88";"88";"71";"15";"KHAIRAMPUR";NULL;NULL
"89";"89";"71";"15";"TELANWALI";NULL;NULL
"90";"90";"10";"15";"DURJANPUR";"113";"2"
"91";"91";"10";"15";"KALIRAWAN";"229";"2"
"92";"92";"10";"15";"KIRMARA";"110";"2"
"93";"93";"10";"15";"KULERI";NULL;NULL
"94";"94";"10";"15";"SIWANI BOLAN";"186";"2"
"95";"95";"10";"15";"THASKA";"99";"2"
"96";"96";"11";"15";"GIANPURA";NULL;NULL
"97";"97";"72";"15";"MUZADPUR";NULL;NULL
"98";"98";"73";"15";"BASS AKABARPUR";NULL;NULL
"99";"99";"12";"15";"BURE";NULL;NULL
"100";"100";"74";"15";"BHERIAN";NULL;NULL
"101";"101";"74";"15";"DOBHI";NULL;NULL
"102";"102";"74";"15";"SHAHPUR";"79";"2"
"103";"103";"75";"15";"KOTH KHURD";NULL;NULL
"104";"104";"75";"15";"MADHA";NULL;NULL
"105";"105";"75";"15";"MAJRA";NULL;NULL
"106";"106";"75";"15";"NARA";NULL;NULL
"107";"107";"75";"15";"RAKHI SHAHPUR";NULL;NULL
"108";"108";"76";"16";"FATEHPUR";NULL;NULL
"109";"109";"76";"16";"GOYLA KALAN";"191";"3"
"110";"110";"76";"16";"GUBHANA";NULL;NULL
"111";"111";"76";"16";"JAHANGIRPUR";NULL;NULL
"112";"112";"76";"16";"KHERKA GUJJAR";"119";"2"
"113";"113";"76";"16";"LUKSAR";"116";"3"
"114";"114";"70";"12";"MUNDA KHERA";NULL;NULL
"115";"115";"98";"16";"Dekhora";"70";"2"
"116";"116";"98";"16";"Dulhera";"104";"2"
"117";"117";"98";"16";"Kharman";"91";"2"
"118";"118";"98";"16";"Lowa Khurd";NULL;NULL
"119";"119";"98";"16";"Mandothi";NULL;NULL
"120";"120";"98";"16";"Silothi";NULL;NULL
"121";"121";"78";"16";"Bakra";"154";"3"
"122";"122";"78";"16";"Chimni";NULL;NULL
"123";"123";"78";"16";"Siwana";"135";"3"
"124";"124";"68";"12";"Bilochpura";NULL;NULL
"125";"125";"13";"16";"Birdhana";"119";"3"
"126";"126";"13";"16";"Boria";NULL;NULL
"127";"127";"13";"16";"Gizarod";NULL;NULL
"128";"128";"13";"16";"Jondhi *";NULL;NULL
"129";"129";"13";"16";"Kaloi";NULL;NULL
"130";"130";"13";"16";"Nangla";NULL;NULL
"131";"131";"13";"16";"Silana";"114";"2"
"132";"132";"13";"16";"Silani Jalim";NULL;NULL
"133";"133";"13";"16";"Suhra *";NULL;NULL
"134";"134";"13";"16";"Ukhalchana";"101";"3"
"135";"135";"13";"16";"Zahidpur Alias Azadpur";NULL;NULL
"136";"136";"79";"16";"Machhrouli";NULL;NULL
"137";"137";"79";"16";"Patoda";"131";"2"
"138";"138";"79";"16";"Sarola";NULL;NULL
"139";"139";"80";"16";"Chadhwana";NULL;NULL
"140";"140";"81";"16";"Kondrawali";NULL;NULL
"141";"141";"81";"16";"Nilaheri";NULL;NULL
"142";"142";"81";"16";"Niwada";NULL;NULL
"143";"143";"19";"7";"CHANDANA";NULL;NULL
"144";"144";"19";"7";"NOUCH";"84";"2"
"145";"145";"56";"3";"PADLA";NULL;NULL
"146";"146";"20";"7";"Habri";NULL;NULL
"147";"147";"25";"12";"AJRANA KHURD";"135";"2"
"148";"148";"25";"12";"BHUSTALA";NULL;NULL
"149";"149";"25";"12";"GORKHA";NULL;NULL
"150";"150";"25";"12";"MEGHA MAJRA";"135";"3"
"151";"151";"26";"12";"BADAR PUR";NULL;NULL
"152";"152";"26";"12";"BAHLOLPUR";"184";"2"
"153";"153";"26";"12";"BANI";"120";"2"
"154";"154";"26";"12";"BAPDI";"110";"2"
"155";"155";"26";"12";"BARHAN";"113";"2"
"156";"156";"26";"12";"BARONDI";"118";"2"
"157";"157";"26";"12";"CHHAILONDI";"263";"2"
"158";"158";"26";"12";"DHANORA JATTAN";"131";"2"
"159";"159";"26";"12";"DUDA";"203";"2"
"160";"160";"26";"12";"DUDHI";NULL;NULL
"161";"161";"26";"12";"GOBINDGARH";NULL;NULL
"162";"162";"26";"12";"HALAL PUR";NULL;NULL
