"id","document_code","scheme","title","district_id","district_name","location_label","sector_label","total_plots","original_file_name","file_path","published_date","sort_order","IsActive","IsDeleted","CreatedDate","CreatedBy","ModifiedDate","ModifiedBy"
"1","1A","MMSAY","Charkhi Dadri - Sector 8","299","CHARKHI-DADRI","Charkhi Dadri","Sector 8","425","1A Charki Dadri_Sector 8_Plots 425.pdf","draw_documents/1A Charki Dadri_Sector 8_Plots 425.pdf",NULL,"10","1","0","2026-08-10 10:37:44",NULL,NULL,NULL
"2","1B","MMSAY","Charkhi Dadri - Sector 9","299","CHARKHI-DADRI","Charkhi Dadri","Sector 9","512","1B Charki Dadri_Sector 9_Plots 512.pdf","draw_documents/1B Charki Dadri_Sector 9_Plots 512.pdf",NULL,"20","1","0","2026-08-10 10:37:44",NULL,NULL,NULL
"3","1C","MMSAY","Charkhi Dadri - Sector 1B","299","CHARKHI-DADRI","Charkhi Dadri","Sector 1B","487","1C Charki Dadri_Sector 1B_Plots 487.pdf","draw_documents/1C Charki Dadri_Sector 1B_Plots 487.pdf",NULL,"30","1","0","2026-08-10 10:37:44",NULL,NULL,NULL
"4","2","MMSAY","Gohana - Sector 16","285","SONIPAT","Gohana","Sector 16","369","2 Gohana_sector 16_Plots 369.pdf","draw_documents/2 Gohana_sector 16_Plots 369.pdf",NULL,"40","1","0","2026-08-10 10:37:44",NULL,NULL,NULL
"5","3","MMSAY","Sirsa - Sector 20","288","SIRSA","Sirsa","Sector 20","963","3 Sirsa_sector 20_Plots 963.pdf","draw_documents/3 Sirsa_sector 20_Plots 963.pdf",NULL,"50","1","0","2026-08-10 10:37:44",NULL,NULL,NULL
"6","4A","MMSAY","Jhajjar - Sector 9 (List A)","292","JHAJJAR","Jhajjar","Sector 9","280","4A Jhajjar_Sector 9_plots 280.pdf","draw_documents/4A Jhajjar_Sector 9_plots 280.pdf",NULL,"60","1","0","2026-08-10 10:37:44",NULL,NULL,NULL
"7","4B","MMSAY","Jhajjar - Sector 9 (List B)","292","JHAJJAR","Jhajjar","Sector 9","111","4B Jhajjar_Sector 9_plots 111.pdf","draw_documents/4B Jhajjar_Sector 9_plots 111.pdf",NULL,"70","1","0","2026-08-10 10:37:44",NULL,NULL,NULL
"8","4C","MMSAY","Jhajjar - Sector 9 (List C)","292","JHAJJAR","Jhajjar","Sector 9","304","4C Jhajjar_Sector 9_plots 304.pdf","draw_documents/4C Jhajjar_Sector 9_plots 304.pdf",NULL,"80","1","0","2026-08-10 10:37:44",NULL,NULL,NULL
"9","4D","MMSAY","Jhajjar - Sector 9 (List D)","292","JHAJJAR","Jhajjar","Sector 9","149","4D Jhajjar_Sector 9_plots 149.pdf","draw_documents/4D Jhajjar_Sector 9_plots 149.pdf",NULL,"90","1","0","2026-08-10 10:37:44",NULL,NULL,NULL
"10","4E","MMSAY","Jhajjar - Sector 6 (List E)","292","JHAJJAR","Jhajjar","Sector 6","478","4E Jhajjar_Sector 6_plots 478.pdf","draw_documents/4E Jhajjar_Sector 6_plots 478.pdf",NULL,"100","1","0","2026-08-10 10:37:44",NULL,NULL,NULL
